"phylogeny","model","k","q","C","p","CICc","CICc.difference","l","w","Region"
"NC uniform stem","three",1,5,2.33,0.31,12.46,0,1,0.49,"Global"
"NC uniform stem","two",1,5,2.47,0.29,12.6,0.14,0.93,0.46,"Global"
"NC uniform stem","one",1,5,7.99,0.02,18.12,5.66,0.06,0.03,"Global"
"NC uniform stem","four",1,5,8.92,0.01,19.05,6.59,0.04,0.02,"Global"
"NC uniform crown","two",1,5,0.84,0.66,10.97,0,1,0.91,"Global"
"NC uniform crown","one",1,5,5.77,0.06,15.9,4.93,0.09,0.08,"Global"
"NC uniform crown","three",1,5,11.48,0,21.6,10.64,0,0,"Global"
"NC uniform crown","four",1,5,12.4,0,22.53,11.56,0,0,"Global"
"FBD stem","two",1,5,2.73,0.26,12.86,0,1,0.49,"Global"
"FBD stem","three",1,5,2.84,0.24,12.97,0.11,0.95,0.46,"Global"
"FBD stem","one",1,5,8.31,0.02,18.44,5.58,0.06,0.03,"Global"
"FBD stem","four",1,5,8.52,0.01,18.65,5.8,0.06,0.03,"Global"
"FBD crown","three",1,5,2.26,0.32,12.38,0,1,0.53,"Global"
"FBD crown","two",1,5,2.65,0.27,12.78,0.39,0.82,0.43,"Global"
"FBD crown","one",1,5,8.62,0.01,18.74,6.36,0.04,0.02,"Global"
"FBD crown","four",1,5,9.42,0.01,19.54,7.16,0.03,0.01,"Global"
"NC uniform stem","three",1,5,0.95,0.62,11.49,0,1,0.31,"Tropical"
"NC uniform stem","four",1,5,1.07,0.58,11.62,0.13,0.94,0.29,"Tropical"
"NC uniform stem","two",1,5,1.27,0.53,11.82,0.33,0.85,0.26,"Tropical"
"NC uniform stem","one",1,5,2.52,0.28,13.06,1.57,0.46,0.14,"Tropical"
"NC uniform crown","three",1,5,0.17,0.92,10.72,0,1,0.43,"Tropical"
"NC uniform crown","two",1,5,1.3,0.52,11.84,1.13,0.57,0.24,"Tropical"
"NC uniform crown","four",1,5,1.55,0.46,12.09,1.37,0.5,0.22,"Tropical"
"NC uniform crown","one",1,5,2.92,0.23,13.47,2.75,0.25,0.11,"Tropical"
"FBD stem","three",1,5,0.68,0.71,11.23,0,1,0.34,"Tropical"
"FBD stem","four",1,5,1.17,0.56,11.72,0.49,0.78,0.27,"Tropical"
"FBD stem","two",1,5,1.28,0.53,11.83,0.6,0.74,0.26,"Tropical"
"FBD stem","one",1,5,2.61,0.27,13.15,1.92,0.38,0.13,"Tropical"
"FBD crown","three",1,5,0.43,0.81,10.98,0,1,0.37,"Tropical"
"FBD crown","four",1,5,1.14,0.56,11.69,0.71,0.7,0.26,"Tropical"
"FBD crown","two",1,5,1.28,0.53,11.83,0.85,0.65,0.24,"Tropical"
"FBD crown","one",1,5,2.58,0.28,13.12,2.15,0.34,0.13,"Tropical"
"NC uniform stem","two",1,5,0.38,0.83,10.7,0,1,0.38,"Temperate"
"NC uniform stem","three",1,5,0.42,0.81,10.74,0.04,0.98,0.37,"Temperate"
"NC uniform stem","one",1,5,1.26,0.53,11.59,0.89,0.64,0.24,"Temperate"
"NC uniform stem","four",1,5,7.64,0.02,17.97,7.27,0.03,0.01,"Temperate"
"NC uniform crown","one",1,5,0.65,0.72,10.98,0,1,0.6,"Temperate"
"NC uniform crown","two",1,5,2.75,0.25,13.08,2.1,0.35,0.21,"Temperate"
"NC uniform crown","three",1,5,3.14,0.21,13.46,2.48,0.29,0.17,"Temperate"
"NC uniform crown","four",1,5,7.8,0.02,18.12,7.14,0.03,0.02,"Temperate"
"FBD stem","one",1,5,0.63,0.73,10.96,0,1,0.39,"Temperate"
"FBD stem","two",1,5,0.67,0.72,10.99,0.04,0.98,0.38,"Temperate"
"FBD stem","three",1,5,2.01,0.37,12.34,1.38,0.5,0.2,"Temperate"
"FBD stem","four",1,5,6.02,0.05,16.34,5.39,0.07,0.03,"Temperate"
"FBD crown","two",1,5,0.67,0.72,10.99,0,1,0.43,"Temperate"
"FBD crown","one",1,5,0.98,0.61,11.31,0.31,0.85,0.36,"Temperate"
"FBD crown","three",1,5,2.22,0.33,12.54,1.55,0.46,0.2,"Temperate"
"FBD crown","four",1,5,7.55,0.02,17.87,6.88,0.03,0.01,"Temperate"
"NC uniform stem","two",1,5,0.13,0.94,10.5,0,1,0.92,"Both"
"NC uniform stem","one",1,5,6.03,0.05,16.4,5.9,0.05,0.05,"Both"
"NC uniform stem","three",1,5,6.67,0.04,17.04,6.54,0.04,0.03,"Both"
"NC uniform stem","four",1,5,14.59,0,24.96,14.46,0,0,"Both"
"NC uniform crown","two",1,5,1.87,0.39,12.24,0,1,0.52,"Both"
"NC uniform crown","three",1,5,3.31,0.19,13.68,1.44,0.49,0.25,"Both"
"NC uniform crown","one",1,5,3.49,0.17,13.87,1.63,0.44,0.23,"Both"
"NC uniform crown","four",1,5,14.52,0,24.89,12.65,0,0,"Both"
"FBD stem","two",1,5,0.07,0.97,10.44,0,1,0.92,"Both"
"FBD stem","one",1,5,5.92,0.05,16.3,5.85,0.05,0.05,"Both"
"FBD stem","three",1,5,7.29,0.03,17.66,7.22,0.03,0.03,"Both"
"FBD stem","four",1,5,14.24,0,24.61,14.17,0,0,"Both"
"FBD crown","two",1,5,0.07,0.97,10.44,0,1,0.93,"Both"
"FBD crown","one",1,5,5.86,0.05,16.24,5.8,0.06,0.05,"Both"
"FBD crown","three",1,5,7.46,0.02,17.83,7.4,0.02,0.02,"Both"
"FBD crown","four",1,5,14.17,0,24.54,14.1,0,0,"Both"
