"Causal_relationship","Path_coefficient","SE","Lower_95_CI","Upper_95_CI","Tree"
"CS_affects_WP",1.15,0.28,0.6,1.69,"NCuniform_stem"
"Climate_affects_WP",-0.01,0.24,-0.48,0.46,"NCuniform_stem"
"WP_affects_Climate",-0.01,0.21,-0.42,0.4,"NCuniform_stem"
"CS_affects_Climate",-0.04,0.09,-0.23,0.14,"NCuniform_stem"
"Climate_affects_CS",-0.05,0.06,-0.17,0.06,"NCuniform_stem"
"CS_affects_WP",1.11,0.27,0.58,1.64,"NCuniform_crown"
"Climate_affects_WP",0.14,0.22,-0.29,0.57,"NCuniform_crown"
"WP_affects_Climate",-0.07,0.21,-0.48,0.34,"NCuniform_crown"
"CS_affects_Climate",-0.06,0.09,-0.24,0.12,"NCuniform_crown"
"Climate_affects_CS",-0.07,0.06,-0.19,0.05,"NCuniform_crown"
"CS_affects_WP",1.1,0.28,0.55,1.65,"FBD_stem"
"Climate_affects_WP",0.07,0.19,-0.31,0.45,"FBD_stem"
"WP_affects_Climate",-0.03,0.21,-0.44,0.38,"FBD_stem"
"CS_affects_Climate",-0.05,0.09,-0.23,0.13,"FBD_stem"
"Climate_affects_CS",-0.08,0.06,-0.2,0.05,"FBD_stem"
"CS_affects_WP",1.09,0.27,0.56,1.62,"FBD_crown"
"Climate_affects_WP",0.08,0.22,-0.35,0.51,"FBD_crown"
"WP_affects_Climate",-0.03,0.21,-0.43,0.38,"FBD_crown"
"CS_affects_Climate",-0.05,0.09,-0.23,0.14,"FBD_crown"
"Climate_affects_CS",-0.08,0.06,-0.2,0.04,"FBD_crown"
